"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Agency X Grant Portal","0","Grant Application Submission","6","0","Eligible applicant chooses a different support option","0"
"0","Agency X Grant Portal","0","Grant Application Submission","3","0","Applicant opens the public application form","0"
"0","Agency X Grant Portal","0","Grant Application Submission","3","0","Applicant enters an invalid postal code","0"
"0","Agency X Grant Portal","0","Grant Application Submission","3","0","Applicant enters an invalid phone number","0"
"0","Agency X Grant Portal","0","Grant Application Submission","3","0","Applicant above the income threshold is not eligible","0"
"0","Agency X Grant Portal","0","Grant Application Submission","3","0","Eligible applicant submits the form","0"
"0","Agency X Grant Portal","0","Accessibility","3","0","Automated WCAG scan of the public application form","0"
"0","Agency X Grant Portal","1","Visual Regression","0","0","Pristine application form matches its approved baseline","0"
